;Title;Rating;TotalVotes;Genre;CVotesMale;CVotesFemale
1;12 Years a Slave†(2013);8.1;496,092;1;†313823;†82012
2;127 Hours†(2010);7.6;297,075;2;†212866;†44600
3;50/50†(2011);7.7;283,935;3;†188925;†58348
4;About Time†(2013);7.8;225,412;3;†126718;†58098
5;Amour†(2012);7.9;76,121;4;†49808;†16719
6;Argo†(2012);7.7;486,84;5;†334838;†67910
7;Arrival†(2016);8;370,842;4;†237437;†46272
8;Beasts of No Nation†(2015);7.8;51,781;4;†37373;†4422
9;Before Midnight†(2013);7.9;106,553;4;†67076;†23823
10;Big Hero 6†(2014);7.8;315,485;6;†187383;†58731
11;Birdman or (The Unexpected Virtue of Ignorance)†(2014);7.8;448,725;3;†292808;†63310
12;Black Swan†(2010);8;587,893;4;†356707;†143077
13;Boyhood†(2014);7.9;290,327;4;†183807;†51558
14;Bridge of Spies†(2015);7.6;223,756;4;†152707;†23978
15;Captain America: Civil War†(2016);7.9;431,555;5;†264239;†43818
16;Captain America: The Winter Soldier†(2014);7.8;552,706;5;†360615;†66751
17;Captain Fantastic†(2016);7.9;115,194;3;†71760;†19138
18;Captain Phillips†(2013);7.8;350,818;1;†247889;†41602
19;Creed†(2015);7.6;179,795;4;†126214;†13323
20;Dallas Buyers Club†(2013);8;357,641;1;†231258;†63266
21;Dawn of the Planet of the Apes†(2014);7.6;349,646;5;†250421;†32032
22;Deadpool†(2016);8;652,127;5;†391955;†79804
23;Despicable Me†(2010);7.7;417,592;6;†251408;†91545
24;Detachment†(2011);7.7;62,352;4;†40924;†13291
25;Disconnect†(2012);7.6;65,448;4;†44411;†12217
26;Django Unchained†(2012);8.4;1,056,822;4;†695211;†139226
27;Doctor Strange†(2016);7.6;328,932;5;†202386;†42203
28;Drive†(2011);7.8;467,642;7;†336319;†64201
29;Edge of Tomorrow†(2014);7.9;480,513;5;†341199;†45790
30;End of Watch†(2012);7.7;194,675;7;†147679;†17678
31;Ex Machina†(2014);7.7;348,55;4;†237599;†41160
32;Flipped†(2010);7.7;66,461;3;†33714;†22540
33;Fury†(2014);7.6;337,571;5;†238800;†30746
34;Gone Girl†(2014);8.1;649,474;7;†397571;†113606
35;Gravity†(2013);7.8;630,89;4;†427135;†87618
36;Guardians of the Galaxy†(2014);8.1;778,22;5;†491689;†101957
37;Hacksaw Ridge†(2016);8.2;244,314;1;†156398;†26285
38;Harry Potter and the Deathly Hallows: Part 1†(2010);7.7;363,226;2;†223868;†79506
39;Hell or High Water†(2016);7.7;125,026;7;†88398;†10427
40;Her†(2013);8;398,431;4;†252724;†72611
41;Hidden Figures†(2016);7.8;111,357;1;†58466;†26503
42;How to Train Your Dragon 2†(2014);7.9;240,983;6;†147074;†45334
43;How to Train Your Dragon†(2010);8.1;532,296;6;†327837;†105104
44;Hugo†(2011);7.5;261,953;2;†179655;†47795
45;Hunt for the Wilderpeople†(2016);7.9;56,964;2;†37495;†7737
46;I, Daniel Blake†(2016);7.9;28,35;4;†18739;†4275
47;Inception†(2010);8.8;1,609,713;5;†1044318;†239796
48;Inside Out†(2015);8.2;430,229;6;†244433;†79081
49;Interstellar†(2014);8.6;1,075,163;2;†682280;†128771
50;Kick-Ass†(2010);7.7;461,86;5;†336585;†57638
51;Kingsman: The Secret Service†(2014);7.7;450,5;5;†285835;†64396
52;Kubo and the Two Strings†(2016);7.8;78,588;6;†50701;†10485
53;La La Land†(2016);8.2;290,33;3;†157693;†56713
54;Les Mis√©rables†(2012);7.6;260,178;4;†141014;†73591
55;Lion†(2016);8.1;123,032;1;†68921;†24977
56;Lone Survivor†(2013);7.5;222,343;5;†163657;†17260
57;Mad Max: Fury Road†(2015);8.1;649,54;5;†424435;†69670
58;Manchester by the Sea†(2016);7.9;150,266;4;†92452;†22834
59;Me and Earl and the Dying Girl†(2015);7.8;94,563;3;†57403;†18413
60;Midnight in Paris†(2011);7.7;324,479;3;†195745;†81470
61;Moana†(2016);7.7;142,46;6;†76266;†29532
62;Moneyball†(2011);7.6;300,199;1;†222663;†34888
63;Moonrise Kingdom†(2012);7.8;258,231;2;†164811;†53362
64;Nebraska†(2013);7.7;97,059;2;†70069;†13162
65;Nightcrawler†(2014);7.9;340,717;7;†235721;†38888
66;Philomena†(2013);7.6;81,855;1;†49275;†20366
67;Pride†(2014);7.8;40,577;1;†23595;†10096
68;Prisoners†(2013);8.1;441,037;7;†297561;†59221
69;Rise of the Planet of the Apes†(2011);7.6;434,037;5;†320581;†47940
70;Rogue One†(2016);7.9;349,21;5;†229114;†32521
71;Rush†(2013);8.1;345,486;5;†246354;†35289
72;Scott Pilgrim vs. the World†(2010);7.5;297,633;5;†208417;†45718
73;Short Term 12†(2013);8;63,459;4;†40594;†12108
74;Shutter Island†(2010);8.1;871,391;8;†570554;†136360
75;Sicario†(2015);7.6;250,849;5;†178321;†21448
76;Silver Linings Playbook†(2012);7.8;570,344;3;†338051;†131000
77;Sing Street†(2016);8;56,066;3;†34349;†8738
78;Skyfall†(2012);7.8;552,367;5;†391158;†65929
79;Spotlight†(2015);8.1;279,211;7;†173290;†43313
80;Star Trek Into Darkness†(2013);7.8;421,473;5;†293195;†54871
81;Star Wars: The Force Awakens†(2015);8.1;676,732;5;†425971;†68664
82;Straight Outta Compton†(2015);7.9;144,011;1;†96591;†14262
83;Tangled†(2010);7.8;321,593;6;†166088;†97213
84;The Artist†(2011);7.9;201,344;3;†133682;†40741
85;The Avengers†(2012);8.1;1,056,773;5;†691783;†151617
86;The Big Short†(2015);7.8;254,317;1;†167875;†31804
87;The Book Thief†(2013);7.6;107,88;4;†59365;†29422
88;The Dark Knight Rises†(2012);8.4;1,240,780;5;†842343;†143070
